Date,Open,High,Low,Close,Volume
2023-01-02,47750,48750,47550,47600,547689
2023-01-03,47900,49300,47300,49050,1031515
2023-01-04,48250,50700,48250,50500,1083324
2023-01-05,50600,53900,50500,53900,2515852
2023-01-06,53800,57500,53400,56700,2935706
2023-01-09,57300,57500,55900,57200,2076859
2023-01-10,56400,57900,56300,57800,1926580
2023-01-11,57700,57800,55900,56400,1804800
2023-01-12,56100,56900,56100,56500,1818316
2023-01-13,56400,57800,55800,57400,1708096
2023-01-16,57300,60300,57200,60000,3019556
2023-01-17,60500,60700,58700,59100,1750057
2023-01-18,58900,58900,57300,58500,1487071
2023-01-19,57700,58400,56800,57200,1604477
2023-01-20,56900,57700,56700,57000,1496054
2023-01-25,57000,58700,57000,58500,1649210
2023-01-26,58000,59500,57900,58900,1352210
2023-01-27,57700,58400,57400,57700,1920720
2023-01-30,57300,58700,57200,57300,1233861
2023-01-31,57400,58000,55500,55900,1402754
2023-02-01,55800,58400,55700,57400,1357747
2023-02-02,57700,57800,56000,56400,1559017
2023-02-03,56000,57500,55600,56900,1220051
2023-02-06,56400,56500,55000,55700,1198785
2023-02-07,55800,56100,55000,55500,1100439
2023-02-08,56000,57200,55500,55700,1830445
2023-02-09,56000,56500,54000,54200,2044662
2023-02-10,54200,55700,54200,55700,1148965
2023-02-13,55400,56200,55100,55300,1312990
2023-02-14,55700,55900,52900,53000,1964766
2023-02-15,52600,52700,50300,50400,3313779
2023-02-16,50400,50700,49300,49800,3233661
2023-02-17,49400,50900,49200,50000,2911779
2023-02-20,50200,50800,49600,50700,1632737
2023-02-21,50700,51400,50500,50600,1464064
2023-02-22,50500,50800,49700,49700,1511960
2023-02-23,49700,50600,49300,50000,1541622
2023-02-24,49950,51200,49900,50700,1348402
2023-02-27,50400,51100,50000,50600,1006540
2023-02-28,50600,51700,50600,51300,1452723
2023-03-02,51900,52000,50200,50600,1628359
2023-03-03,50700,51000,49800,50000,1077928
2023-03-06,50600,50600,49800,50200,1162559
2023-03-07,50000,51500,50000,50800,1266350
2023-03-08,50200,51200,50100,50600,1294264
2023-03-09,50400,51500,50100,50700,1545967
2023-03-10,49900,50200,49350,49700,1165480
2023-03-13,49600,50600,49050,50300,1003507
