Date,Open,High,Low,Close,Volume
2022-01-03,645000,689000,644000,667000,237394
2022-01-04,662000,669000,654000,657000,111602
2022-01-05,652000,654000,622000,625000,196204
2022-01-06,617000,622000,599000,601000,206173
2022-01-07,606000,620000,603000,606000,125308
2022-01-10,604000,619000,600000,614000,101203
2022-01-11,609000,622000,601000,604000,146671
2022-01-12,609000,623000,608000,616000,113698
2022-01-13,611000,618000,604000,605000,138024
2022-01-14,598000,599000,572000,583000,232460
2022-01-17,574000,595000,573000,588000,101567
2022-01-18,587000,599000,576000,578000,81971
2022-01-19,578000,584000,574000,582000,108563
2022-01-20,582000,585000,568000,578000,126446
2022-01-21,572000,582000,563000,565000,192639
2022-01-24,564000,576000,563000,567000,142063
2022-01-25,573000,579000,557000,558000,178822
2022-01-26,558000,572000,558000,562000,132939
2022-01-27,563000,565000,531000,536000,225429
2022-01-28,537000,544000,522000,536000,230623
2022-02-03,537000,545000,525000,532000,238330
2022-02-04,532000,537000,517000,530000,310866
2022-02-07,535000,546000,529000,540000,201268
2022-02-08,543000,557000,535000,540000,149213
2022-02-09,546000,549000,537000,540000,85492
2022-02-10,551000,565000,546000,550000,251453
2022-02-11,541000,543000,509000,511000,623308
2022-02-14,499500,513000,497000,510000,217183
2022-02-15,510000,529000,509000,513000,181104
2022-02-16,482500,497000,474500,492500,538594
2022-02-17,493500,512000,488000,501000,265895
2022-02-18,493500,497000,487000,492500,242560
2022-02-21,488000,488000,478000,484000,246768
2022-02-22,472000,472500,459000,462500,331754
2022-02-23,466000,466500,461000,463500,243012
2022-02-24,455000,457000,443500,448500,324246
2022-02-25,452500,454000,442500,444000,327605
2022-02-28,435000,447500,432000,443500,457922
2022-03-02,448000,458000,446000,452000,206859
2022-03-03,455000,460000,450500,459500,125339
2022-03-04,457500,457500,436500,437000,250754
2022-03-07,430000,432000,423000,424500,162273
2022-03-08,417000,437000,417000,430500,186265
2022-03-10,439500,452000,439500,443500,237760
2022-03-11,449500,460000,444500,452000,210603
2022-03-14,457000,458000,442500,444500,158520
2022-03-15,440000,445000,432000,440000,106615
2022-03-16,444500,448500,435500,440000,112638
2022-03-17,448500,476500,448500,467000,270376
2022-03-18,471000,472000,462500,467000,133139
2022-03-21,474500,481000,463500,463500,155547
2022-03-22,465000,467500,460000,463000,89919
2022-03-23,467000,476500,465500,469000,107935
2022-03-24,465500,467500,458500,462500,90061
2022-03-25,464500,469000,462000,463500,69691
2022-03-28,460500,460500,444000,457000,108484
2022-03-29,457000,468000,455500,462000,71994
2022-03-30,465000,473500,462000,465000,96179
2022-03-31,467000,479500,464500,467500,140432
2022-04-01,465000,467500,458000,467000,72574
2022-04-04,465500,479000,460500,476000,125127
2022-04-05,479000,485000,473000,480000,112974
2022-04-06,475000,483500,469000,474000,96750
2022-04-07,469000,471500,462000,462000,103079
2022-04-08,462500,466500,453500,458000,87055
2022-04-11,450500,459000,449000,453500,59322
2022-04-12,452000,461500,446500,458000,100684
2022-04-13,455000,462000,453000,458500,63106
2022-04-14,459000,459000,447000,447000,122783
2022-04-15,447000,448500,440000,443000,66988
2022-04-18,440500,443000,437500,438500,53410
2022-04-19,442000,445000,439000,439500,46920
2022-04-20,440000,441500,436500,440000,57692
2022-04-21,440500,442000,437000,437000,55971
2022-04-22,432500,434500,419000,422500,116904
2022-04-25,415000,420000,412500,412500,85605
2022-04-26,413000,424500,412500,420000,88379
2022-04-27,409000,411000,406000,410000,108179
2022-04-28,412000,416500,408000,412500,72140
2022-04-29,413500,422000,411000,421500,86030
2022-05-02,415000,430500,414500,425000,88322
2022-05-03,424500,435000,424000,432500,75191
2022-05-04,432500,434500,419000,423000,103064
2022-05-06,417000,417000,410500,414000,55006
2022-05-09,408500,415000,408000,411000,54378
2022-05-10,407000,411000,395500,408000,110344
2022-05-11,404000,414500,404000,413000,68474
2022-05-12,405000,413500,398500,398500,153743
2022-05-13,430000,452500,421000,439500,497078
2022-05-16,445000,449000,420500,420500,160517
2022-05-17,420500,424500,416500,421500,103457
2022-05-18,423000,436500,423000,435500,139569
2022-05-19,425500,437500,422500,429500,117248
2022-05-20,431500,450000,430000,450000,147275
2022-05-23,449500,457000,445500,455000,103258
2022-05-24,451000,454500,441500,442500,72359
2022-05-25,446500,450000,437000,444500,88365
2022-05-26,444000,462000,443500,454500,148982
2022-05-27,460500,462500,448500,451000,64043
2022-05-30,455500,459500,453000,456000,59645
2022-05-31,458500,458500,451000,455000,193455
2022-06-02,455000,456000,442500,456000,88186
2022-06-03,457000,459500,447500,449500,72734
2022-06-07,443500,446000,438000,441500,79090
2022-06-08,443000,464000,440500,459000,129839
2022-06-09,457500,472500,455000,465500,189197
2022-06-10,461000,467500,456000,457000,85094
2022-06-13,447000,449500,432000,436500,113403
2022-06-14,430000,436000,422500,427000,100198
2022-06-15,425500,429500,407500,411000,114187
2022-06-16,417000,421500,400500,401000,122400
2022-06-17,390500,404500,390000,398000,155193
2022-06-20,405500,409000,394500,399500,98357
2022-06-21,400000,415500,399500,411500,113707
2022-06-22,412500,413000,403000,404500,104767
2022-06-23,405000,431000,404500,418500,212504
2022-06-24,419500,436000,419500,435000,102099
2022-06-27,435000,435000,417500,417500,126766
2022-06-28,417500,418000,397000,398500,250472
2022-06-29,394500,398500,387000,388500,145881
2022-06-30,385000,386500,349500,349500,442923
2022-07-01,353500,357500,347500,350000,175587
2022-07-04,350500,358000,349500,354500,123724
2022-07-05,355000,370500,355000,362500,146662
2022-07-06,360500,370500,358500,360500,152793
2022-07-07,364000,377500,364000,376000,144863
2022-07-08,378000,378500,372500,373500,98436
2022-07-11,371000,375000,361000,363500,89594
2022-07-12,361500,365500,355000,358000,82614
2022-07-13,360500,369500,357500,366500,78174
2022-07-14,362000,373000,361000,367500,109444
2022-07-15,369000,373000,361000,363500,60211
2022-07-18,366500,371000,362500,367500,59598
2022-07-19,368000,370000,364000,367500,37041
2022-07-20,372500,380000,368500,372000,108095
2022-07-21,372000,379500,369500,376000,105212
2022-07-22,374500,380500,373500,373500,66150
2022-07-25,373500,375500,361000,370000,83050
2022-07-26,368000,371000,365500,369500,57512
2022-07-27,369000,370000,361500,362500,70268
2022-07-28,367500,371500,362500,364500,55318
2022-07-29,367500,381000,367000,372500,137501
2022-08-01,372500,375500,369500,373000,48674
2022-08-02,373000,373000,365000,366500,66568
2022-08-03,366500,386500,365500,380500,137306
2022-08-04,384500,389000,382000,385500,111758
2022-08-05,388500,395000,384500,387500,93431
2022-08-08,383500,390500,380500,388500,50862
2022-08-09,388500,417500,383500,412000,272759
2022-08-10,409000,413000,392500,393500,145587
2022-08-11,399500,407000,398500,405000,129476
2022-08-12,402000,402500,382500,385000,314496
2022-08-16,379500,380000,368000,378000,202248
2022-08-17,379000,384500,375500,382500,107508
2022-08-18,379000,386000,377000,382500,65992
2022-08-19,381500,383000,374500,374500,62056
2022-08-22,370500,373500,365000,372500,63890
2022-08-23,369000,374500,363500,363500,72891
2022-08-24,365000,367000,360000,361000,62121
2022-08-25,361500,373000,361500,368500,54576
2022-08-26,369000,376000,367500,368500,56871
2022-08-29,359500,361500,351500,359500,98005
2022-08-30,359000,373500,359000,372000,64585
2022-08-31,368000,379500,366000,378500,77287
2022-09-01,374500,380000,371500,377000,80965
2022-09-02,377000,382000,365500,368000,91875
2022-09-05,368500,384000,368000,377500,80910
2022-09-06,380000,380500,372000,374500,41138
2022-09-07,372000,373500,365500,368500,46861
2022-09-08,371500,383000,370500,371500,116331
2022-09-13,380000,386500,379500,382500,74764
2022-09-14,367000,379000,367000,372500,72772
2022-09-15,375000,377500,367000,368500,50201
2022-09-16,365500,372000,363000,368000,66015
2022-09-19,368000,370500,351500,353000,102295
2022-09-20,358000,364000,355000,357000,62410
2022-09-21,352000,359000,352000,356500,46591
2022-09-22,350000,354500,346500,347000,85936
2022-09-23,349000,349000,325000,330000,138112
2022-09-26,327000,335000,325000,327000,100750
2022-09-27,328500,337000,321000,329000,111345
2022-09-28,324500,331000,318500,323500,87924
2022-09-29,327000,342500,326500,334500,98931
2022-09-30,334500,349000,330500,346000,114853
2022-10-04,349000,358000,345000,356000,96425
2022-10-05,357000,359500,343000,346500,76530
2022-10-06,346500,356500,343500,350500,50969
2022-10-07,347000,352500,344000,349000,78955
2022-10-11,344000,344500,329500,336000,93937
2022-10-12,333500,338500,329000,337000,62551
2022-10-13,339000,341000,322500,322500,93182
2022-10-14,329000,336500,323000,335500,81220
2022-10-17,329500,330000,324000,328000,60583
2022-10-18,335500,356000,335500,355500,161150
2022-10-19,355500,369000,352500,362500,128667
2022-10-20,358500,363000,354500,358000,106377
2022-10-21,357000,364000,349500,360000,75084
2022-10-24,368500,376000,366500,370500,100744
2022-10-25,371000,376000,368500,372500,82069
2022-10-26,372500,390000,370000,380500,116441
2022-10-27,387000,387500,377500,378500,58343
2022-10-28,379000,388000,373500,383000,65727
2022-10-31,387000,391500,384000,390000,73188
2022-11-01,391000,394500,381500,385500,56216
2022-11-02,385500,405500,385000,400500,143083
2022-11-03,392500,394500,383000,385500,87626
2022-11-04,382500,407500,381000,404500,126982
2022-11-07,404000,411500,399000,403000,80727
2022-11-08,405000,412000,399500,412000,89818
2022-11-09,413000,417000,403500,411000,83718
2022-11-10,409000,415000,405500,410000,87163
2022-11-11,441000,476500,431000,465000,440586
2022-11-14,462000,462500,440000,442000,195858
2022-11-15,447000,458000,444000,456500,137096
2022-11-16,458500,469500,453500,461000,147285
2022-11-17,461000,479500,461000,479500,208731
2022-11-18,474500,477500,449000,451000,154174
2022-11-21,452500,463000,449000,459000,100645
2022-11-22,459000,460000,444500,448500,68234
2022-11-23,451000,466500,451000,457500,94327
2022-11-24,461500,465000,455000,459500,56798
2022-11-25,457500,460000,448500,453000,67781
2022-11-28,449500,457000,447000,453000,67445
2022-11-29,453000,457000,450500,454500,43469
2022-11-30,456500,470500,455000,470500,174713
2022-12-01,480500,481000,462500,464000,64809
2022-12-02,464500,475000,460000,469500,75419
2022-12-05,472500,474000,451500,454500,129458
2022-12-06,451000,462500,450500,455000,72616
2022-12-07,459500,460000,452500,460000,63548
2022-12-08,464500,466500,460500,466000,88638
2022-12-09,469500,476500,464000,468000,98990
2022-12-12,463500,471500,463500,468000,48577
2022-12-13,461500,462000,424000,430500,218522
2022-12-14,436500,455500,436500,453000,171253
2022-12-15,453000,454000,431500,434000,92393
2022-12-16,430000,439000,425000,438500,89694
2022-12-19,432000,442500,431000,442500,51797
2022-12-20,443000,443000,433000,438500,48869
2022-12-21,444000,444000,432000,434500,45281
2022-12-22,435000,439500,431500,438500,55490
2022-12-23,430500,434500,426500,429500,47636
2022-12-26,430000,435000,427500,432000,40471
2022-12-27,437000,441000,425500,432000,64630
2022-12-28,426000,439500,418000,433500,76809
2022-12-29,443000,464500,443000,448000,173209
2023-01-02,448500,449000,428500,431500,69875
2023-01-03,433000,456000,425000,454000,97157
2023-01-04,447000,451000,444500,448500,56073
2023-01-05,445000,454000,432500,432500,88752
2023-01-06,430500,442000,426000,428000,93529
2023-01-09,430000,443500,430000,441000,86163
2023-01-10,441000,457500,439000,454000,85202
2023-01-11,457500,459000,443500,446000,77363
2023-01-12,450000,454500,445000,449000,85887
