Date,Open,High,Low,Close,Volume
2024-01-02,237000,241000,235000,240000,94013
2024-01-03,237000,241000,229500,230000,168566
2024-01-04,228000,230500,225500,229500,101358
2024-01-05,228500,231000,224000,224500,113089
2024-01-08,221500,225500,218500,218500,126718
2024-01-09,221500,225000,221000,224000,74711
2024-01-10,223000,225500,220500,221500,62201
2024-01-11,222500,226000,222000,223000,132159
2024-01-12,221000,221000,215500,219500,108864
2024-01-15,216500,219500,215500,216000,67513
2024-01-16,214500,216000,206000,206500,165795
2024-01-17,205500,206500,193600,193600,279901
2024-01-18,193100,194600,189900,190800,141490
2024-01-19,191700,198000,190900,192200,155860
2024-01-22,193400,194200,188200,188200,133007
2024-01-23,188100,196300,188000,195400,106582
2024-01-24,194600,194700,190200,190800,96031
2024-01-25,191200,193300,188500,192600,99314
2024-01-26,192100,196300,190500,193800,87918
2024-01-29,194300,198400,194300,195000,97838
2024-01-30,197700,205000,195200,198900,134829
2024-01-31,198900,199800,195400,198100,85418
2024-02-01,195200,201000,195100,199400,83423
2024-02-02,199600,207500,199600,204000,88434
2024-02-05,204000,209500,202000,207000,115475
2024-02-06,206500,212500,205000,208500,116353
2024-02-07,210500,214500,208500,213000,99976
2024-02-08,208500,210500,202500,204500,157680
2024-02-13,205000,206500,199100,200500,121209
2024-02-14,199600,210000,198800,207000,133172
2024-02-15,209000,211500,207000,208000,62262
2024-02-16,210000,216500,207000,213000,95282
2024-02-19,214500,215000,211000,213000,55087
2024-02-20,213000,213000,207500,208000,56978
2024-02-21,207500,210000,206500,208500,68893
2024-02-22,209000,210000,203500,204000,90481
2024-02-23,205500,205500,202000,205000,60411
2024-02-26,206000,207000,201000,201500,67156
2024-02-27,201000,202000,196500,198100,106971
2024-02-28,198200,201000,198000,199600,49470
2024-02-29,198800,198800,193800,194000,175223
2024-03-04,195600,198500,191200,191200,101031
2024-03-05,189200,192900,189100,189200,84447
2024-03-06,189100,189600,185200,187300,120992
2024-03-07,187300,188700,185000,186200,80308
2024-03-08,188100,193400,188100,188300,101898
2024-03-11,188300,198800,187100,197000,139761
2024-03-12,198000,201000,193800,196300,80145
2024-03-13,196300,198800,194600,196300,65478
2024-03-14,195900,201000,195400,197700,190191
2024-03-15,197700,199000,194500,194600,100649
2024-03-18,196300,197300,192400,192700,65110
2024-03-19,191800,191800,187500,188300,131659
2024-03-20,189700,194400,188700,191400,100130
2024-03-21,192800,194000,189800,191700,84260
2024-03-22,191100,192200,189000,191400,62228
2024-03-25,191000,192800,189400,191800,67823
2024-03-26,193000,209500,192300,208000,249471
2024-03-27,204000,212000,203000,207500,144138
2024-03-28,209000,211000,204000,206000,98019
2024-03-29,206000,208500,195700,198800,133710
2024-04-01,200500,207500,198300,206000,103402
2024-04-02,204000,205000,197400,197400,99738
2024-04-03,196900,198500,193100,193700,96744
2024-04-04,194800,194900,190800,191100,85964
2024-04-05,190000,191200,188100,189000,76151
2024-04-08,188600,189400,184600,185100,100190
2024-04-09,186100,191300,184300,184500,109609
