Date,Open,High,Low,Close,Volume
2023-01-02,448500,449000,428500,431500,69875
2023-01-03,433000,456000,425000,454000,97157
2023-01-04,447000,451000,444500,448500,56073
2023-01-05,445000,454000,432500,432500,88752
2023-01-06,430500,442000,426000,428000,93529
2023-01-09,430000,443500,430000,441000,86163
2023-01-10,441000,457500,439000,454000,85202
2023-01-11,457500,459000,443500,446000,77363
2023-01-12,450000,454500,445000,449000,85887
2023-01-13,456500,468500,456000,464000,102033
2023-01-16,465000,480000,465000,476500,107220
2023-01-17,476500,477000,465000,466000,58281
2023-01-18,469500,480000,468500,474000,71074
2023-01-19,467000,477000,465500,469000,62843
2023-01-20,466000,467000,452000,456500,82189
2023-01-25,462000,470000,460500,467500,64975
2023-01-26,467500,474000,462500,472000,56622
2023-01-27,471000,478500,470500,475500,65231
2023-01-30,473000,479500,460500,463000,99751
2023-01-31,462000,472000,454000,454000,111844
2023-02-01,454000,462000,451500,458500,78036
2023-02-02,464500,469500,462500,466000,74803
2023-02-03,466000,473500,462000,472000,91031
2023-02-06,471000,475000,461000,461000,76287
2023-02-07,460000,468000,455500,467000,64715
2023-02-08,469000,478000,466500,474500,77175
2023-02-09,475000,475500,441500,447500,293302
2023-02-10,445000,445000,426000,428000,211195
2023-02-13,427000,430500,420000,428000,121608
2023-02-14,429500,430500,419500,421500,144662
2023-02-15,419000,419000,408500,409500,181822
2023-02-16,413000,419000,411000,413500,143120
2023-02-17,409000,419500,404000,413500,108151
2023-02-20,415500,436000,411500,433500,148392
2023-02-21,433500,447000,433500,445000,171187
2023-02-22,439500,442500,435500,440000,99058
2023-02-23,454000,464500,452000,452500,201836
2023-02-24,451000,451500,437000,438500,96751
2023-02-27,434000,437000,428500,431000,69326
2023-02-28,432000,443000,431000,434500,97752
2023-03-02,434500,436000,424000,432500,113539
2023-03-03,436500,440000,422500,422500,97813
2023-03-06,428500,444000,428000,434500,151453
2023-03-07,431500,431500,419000,420000,136350
2023-03-08,416000,420000,410000,410500,124863
2023-03-09,414000,418000,404000,405000,123220
2023-03-10,396000,399000,391000,396000,107496
2023-03-13,399500,400000,390500,396500,89461
2023-03-14,391000,398000,387500,389000,100594
2023-03-15,393500,395000,377500,380500,130406
2023-03-16,374500,377000,366500,372500,160198
2023-03-17,377500,383500,373500,383500,121667
2023-03-20,383000,391500,376000,376500,114836
2023-03-21,384500,390500,378500,379500,106709
2023-03-22,385500,390500,383500,388500,100697
2023-03-23,383000,385000,379000,380000,82408
2023-03-24,381500,382000,372000,378000,89631
2023-03-27,379000,380500,371500,372000,70585
2023-03-28,372500,374000,367500,372500,91557
2023-03-29,372000,375000,365500,371000,102447
2023-03-30,371000,376000,370000,371500,72852
2023-03-31,373500,374000,366000,371500,94059
2023-04-03,374500,377500,370000,370500,58662
2023-04-04,371500,386000,371500,385500,110313
2023-04-05,384500,388000,381000,381000,83629
2023-04-06,378000,385000,377000,378500,84115
2023-04-07,378500,382000,370000,370000,112951
2023-04-10,370500,377000,369000,371500,66521
2023-04-11,370000,372500,363000,368500,104639
2023-04-12,368500,371500,363500,371000,92738
2023-04-13,367000,377500,367000,374500,96608
2023-04-14,377000,381500,373000,380000,114690
2023-04-17,380500,381000,370000,377000,96352
2023-04-18,383000,388000,371000,377000,135340
2023-04-19,375500,378500,372500,374000,75985
2023-04-20,374500,380000,369000,371500,77805
2023-04-21,369500,371000,366000,367000,71258
2023-04-24,365500,370000,362500,363500,41960
2023-04-25,362000,366000,355500,356000,61714
2023-04-26,353000,372000,352500,367500,94701
2023-04-27,365000,367500,361000,363000,48629
