Date,Open,High,Low,Close,Volume
2014-01-02,37487.66406,56400,58300,56000,247497
2014-01-03,37022.39453,55700,56700,55100,220482
2014-01-06,36889.46094,55500,55800,54600,190935
2014-01-07,36623.58984,55100,55600,54900,179610
2014-01-08,36091.84766,54300,55400,53700,374566
2014-01-09,35892.44922,54000,54400,53600,264952
2014-01-10,35427.17188,53300,54500,53000,652681
2014-01-13,35493.64453,53400,53800,53200,165177
2014-01-14,35227.77344,53000,53400,52500,186179
2014-01-15,35360.71094,53200,53400,52700,137393
2014-01-16,35294.24219,53100,53900,53000,226943
2014-01-17,35227.77344,53000,53600,52800,87853
2014-01-20,35227.77344,53000,53100,52500,86552
2014-01-21,35493.64453,53400,53600,52700,108373
2014-01-22,35493.64453,53400,53700,53200,108817
2014-01-23,35227.77344,53000,53600,52800,130283
2014-01-24,35294.24219,53100,53300,52600,154814
2014-01-27,34696.03125,52200,52400,51600,193409
2014-01-28,34496.62891,51900,52200,51400,201093
2014-01-29,34097.82422,51300,52200,51100,355136
2014-02-03,33765.48438,50800,50900,50000,322477
2014-02-04,33233.75,50000,50100,49150,338805
2014-02-05,33100.81641,49800,50200,49500,254617
2014-02-06,33167.28125,49900,50500,49550,220663
2014-02-07,31837.92969,47900,49750,46800,978492
2014-02-10,32137.0293,48350,48600,47300,461902
2014-02-11,32569.07422,49000,49100,48050,408067
2014-02-12,32602.30273,49050,49350,48850,168498
2014-02-13,32834.94531,49400,49600,49000,212554
2014-02-14,32967.87891,49600,49850,49250,167013
2014-02-17,33134.04688,49850,49950,49200,141420
2014-02-18,33167.28125,49900,50200,49750,160979
2014-02-19,33100.81641,49800,49950,49100,135210
2014-02-20,33200.51172,49950,50500,49300,214156
2014-02-21,33366.68359,50200,50700,49800,107901
2014-02-24,33100.81641,49800,50400,49300,183987
2014-02-25,33300.21875,50100,50500,49850,171778
2014-02-26,33300.21875,50100,50400,49600,162614
2014-02-27,32934.64844,49550,50100,49350,209064
2014-02-28,32934.64844,49550,50000,49250,228148
2014-03-03,32668.77344,49150,49500,48300,321819
2014-03-04,32469.37695,48850,49350,48700,111887
2014-03-05,32735.24219,49250,50000,49000,201943
2014-03-06,32934.64844,49550,49800,49100,112587
2014-03-07,33366.68359,50200,50800,49450,322726
2014-03-10,33034.35156,49700,50000,49250,168604
2014-03-11,32967.87891,49600,49750,49100,105990
2014-03-12,33001.11719,49650,49950,49150,242055
2014-03-13,32834.94531,49400,50500,49400,245681
2014-03-14,33067.57813,49750,49900,48850,155178
2014-03-17,33067.57813,49750,50100,49450,92677
2014-03-18,33034.35156,49700,50100,49550,113029
2014-03-19,32668.77344,49150,49700,48950,226696
2014-03-20,31372.65625,47200,49100,47000,507726
2014-03-21,31306.19336,47100,47450,46050,437426
2014-03-24,31405.89648,47250,47800,47100,176719
2014-03-25,32004.10352,48150,48400,46700,325012
2014-03-26,31904.39648,48000,48350,47700,219113
2014-03-27,31505.58984,47400,48050,47150,209606
2014-03-28,31904.39648,48000,48450,47400,242771
2014-03-31,32037.33398,48200,48700,48050,138030
2014-04-01,32170.26758,48400,48400,47800,121231
2014-04-02,32269.97266,48550,48850,48150,180865
2014-04-03,32137.0293,48350,48650,47900,147810
2014-04-04,32137.0293,48350,48700,48050,198712
2014-04-07,32336.43555,48650,48950,48100,197031
2014-04-08,32569.07422,49000,49100,48400,151633
2014-04-09,33167.28125,49900,50700,49100,557770
2014-04-10,33300.21875,50100,50300,49600,188272
2014-04-11,33200.51172,49950,50100,49250,217691
2014-04-14,33134.04688,49850,49950,49150,140573
2014-04-15,32801.71094,49350,50100,49300,151128
2014-04-16,32768.47266,49300,49500,49050,99351
2014-04-17,32967.87891,49600,50100,49300,127581
2014-04-18,32967.87891,49600,50300,49550,138231
2014-04-21,32868.17188,49450,49600,49150,90510
2014-04-22,32868.17188,49450,49500,48950,113916
2014-04-23,32801.71094,49350,49550,49050,136179
2014-04-24,32369.67188,48700,49300,48450,265550
2014-04-25,32203.49805,48450,48550,48050,117429
2014-04-28,32070.56641,48250,48900,48250,104628
2014-04-29,32103.80078,48300,48650,48200,65275
2014-04-30,31970.86719,48100,48500,47900,150930
2014-05-02,32170.26758,48400,48500,47900,102159
2014-05-07,31771.46484,47800,49000,47450,188136
2014-05-08,31106.79102,46800,47800,46500,311527
2014-05-09,29910.375,45000,46800,44850,585224
2014-05-12,29677.73242,44650,45000,44550,448904
2014-05-13,29976.84375,45100,45450,44600,415657
2014-05-14,30143.00781,45350,45550,45000,277580
2014-05-15,30109.77539,45300,45500,45050,186844
2014-05-16,30275.94141,45550,45700,45000,327450
2014-05-19,30641.51563,46100,46550,45600,394549
2014-05-20,30209.47461,45450,46300,45200,218720
2014-05-21,30242.70703,45500,45700,45100,159826
2014-05-22,30408.87891,45750,46150,45500,309875
2014-05-23,30209.47461,45450,45900,45450,180594
2014-05-26,30209.47461,45450,45950,45400,186164
2014-05-27,30375.64844,45700,46150,45400,233409
